27001,15886
27003,3.5692e+05
27005,34423
27007,47188
27009,40889
27011,4991
27013,67653
27015,25008
27017,35871
27019,1.0509e+05
27021,29779
27023,11800
27025,56579
27027,64222
27029,8818
27031,5463
27033,11196
27035,65055
27037,4.2902e+05
27039,20934
27041,38141
27043,13653
27045,21067
27047,30281
27049,46340
27051,5972
27053,1.2658e+06
27055,18600
27057,21491
27059,40596
27061,45130
27063,9846
27065,16337
27067,43199
27069,4298
27071,12229
27073,6623
27075,10641
27077,3740
27079,28887
27081,5639
27083,25474
27085,35893
27087,5527
27089,9336
27091,19683
27093,23222
27095,26277
27097,33386
27099,40062
27101,8194
27103,34274
27105,21629
27107,6375
27109,1.5829e+05
27111,58746
27113,14119
27115,29579
27117,9126
27119,31364
27121,11249
27123,5.5032e+05
27125,4055
27127,15170
27129,14548
27131,66972
27133,9315
27135,15165
27137,1.9907e+05
27139,1.4901e+05
27141,97238
27143,14865
27145,1.6108e+05
27147,36649
27149,9805
27151,9266
27153,24664
27155,3259
27157,21627
27159,13682
27161,18612
27163,2.6244e+05
27165,10897
27167,6207
27169,50484
27171,1.3838e+05
27173,9709
